News,Source / Said By,stated_on,Via,Writter,Published on,Classification
“PHIL MURPHY ONLY ALLOWING IN PERSON VOTING ON Election Day AT PRUDENTIAL CENTER IN NEWARK NJ - Calling it a #SuperPollingStation”,Facebook posts,"September 16, 2020",a post,Hayat Norimine,"September 21, 2020",FALSE
On confirming a Supreme Court justice nominee in a presidential election year.,Lindsey Graham,"September 19, 2020",a tweet:,Jon Greenberg,"September 21, 2020",full-flop
"Says John F. Kennedy said, ""If a Supreme Court Justice died one day before the election, it would be more Constitutional to indefinitely postpone the election than postpone the confirmation a single day.""",Viral image,"September 20, 2020",a Facebook post:,Ciara O'Rourke,"September 21, 2020",FALSE
"“Nearly 2 out of 3 Americans want to reduce legal immigration from 1 million per year down to 500,000 or less.”",NumbersUSA,"September 13, 2020",a Facebook post:,Miriam Valverde,"September 21, 2020",half-true
"""Candidate Slotkin had presented herself as a moderate and as someone who’d be independent-minded, but her time in office was making it increasingly clear that no, she was very partisan, voting 96% of the time with Speaker Pelosi.""",Paul Junge,"September 11, 2020",an,Clara Hendrickson,"September 21, 2020",FALSE
“There's no court session between now and the end of this election.”,Joe Biden,"September 20, 2020",a speech,Louis Jacobson,"September 21, 2020",FALSE
Students no longer say the Pledge of Allegiance in schools.,Viral image,"April 26, 2020",a Facebook post:,Ciara O'Rourke,"September 21, 2020",FALSE
"""This Is Real: Biden Waves To An Empty Field.""",Facebook posts,"September 16, 2020",a Facebook post:,Noah Y. Kim,"September 21, 2020",FALSE
"“4 republican senators now on board...no vote until January on (Supreme Court): Murkowski, Romney, Collins, Grassley.”",Facebook posts,"September 18, 2020",,Louis Jacobson,"September 20, 2020",FALSE
"Says Ruth Bader Ginsburg tweeted, “I have information that will lead to the arrest of Hillary Clinton.”",Instagram posts,"September 19, 2020",a faked screenshot:,Katie Sanders,"September 20, 2020",pants-fire
"""If the president had done his job, had done his job from the beginning, all the people would still be alive. All the people. I'm not making this up. Just look at the data.""",Joe Biden,"September 17, 2020",a CNN town hall:,Bill McCarthy,"September 18, 2020",FALSE
"“Last year alone, 10 million fell ill from TB and 1.5 million died. ... Why don’t we wear masks for TB?”",Viral image,"September 17, 2020",a Facebook post:,Madison Czopek,"September 18, 2020",FALSE
"Says that to help people in need during the coronavirus pandemic, Mike Garcia said: ""Everyone should have to figure out how to fend for themselves.""",Democratic Congressional Campaign Committee,"September 8, 2020",an ad:,Tom Kertscher,"September 18, 2020",FALSE
“A portion of everything you pay A.A.R.P goes directly to the Democratic Party.”,Facebook posts,"September 7, 2020",a post,Madison Czopek,"September 18, 2020",FALSE
"“Epstein dies while in custody, his private banker is found dead, a judge had a trial regarding Epstein and the Deutsche Bank. Her son has been killed now and her husband has been shot. The shooter who shot the son and shot the judge’s husband has now also been found dead.”",Viral image,"September 3, 2020",a Facebook post:,Ciara O'Rourke,"September 18, 2020",FALSE
"Quotes Kamala Harris as saying “Take the guns first. Go through due process second, I like taking the guns early.”",Facebook posts,"August 31, 2020",a Facebook post:,Samantha Putterman,"September 18, 2020",pants-fire
"When President Donald Trump walked across Lafayette Square to a church, he held the Bible upside down.",Joe Biden,"September 17, 2020",a CNN town hall:,Louis Jacobson,"September 18, 2020",pants-fire
“Bill Gates says you don't have a choice to be vaccinated or not.”,YouTube videos,"July 2, 2020",a YouTube video:,Noah Y. Kim,"September 18, 2020",FALSE
“Kim Martin Morrow the CEO of Netflix has just been charged with 15 charges for child pornography”,Viral image,"September 17, 2020",a post,Madison Czopek,"September 18, 2020",FALSE
Says he authored legislation “to guarantee coverage to people with pre-existing conditions -- no matter what happens to Obamacare.”,Cory Gardner,"September 15, 2020",a tweet:,Julie Appleby,"September 18, 2020",FALSE
“CBS stole a photo from Latinos for Trump in Phoenix and tagged it as a Biden event.”,Facebook posts,"September 17, 2020",a Facebook post:,Bill McCarthy,"September 18, 2020",FALSE
“CDC Director Robert Redfield says healthy people should NOT wear masks.”,Instagram posts,"September 17, 2020",an Instagram post:,Ciara O'Rourke,"September 18, 2020",FALSE
"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",Caleb Rowden,"September 4, 2020",a post,Paul Schloesser,"September 18, 2020",TRUE
“Nobody is found dead of corona in their homes.. They all die at the hospital.”,Facebook posts,"September 7, 2020",a Facebook post:,Ciara O'Rourke,"September 18, 2020",FALSE
An antifa flyer encourages activists “to disguise yourselves as patriots/Trump supporters” on Nov. 4.,Viral image,"September 2, 2020",a Facebook post:,Ciara O'Rourke,"September 18, 2020",FALSE
"“So far, out of 175 arrested in Kenosha, 102 were not from Kenosha. Rioting has become its own industry.”",Facebook posts,"September 1, 2020",a Facebook post:,Eric Litke,"September 18, 2020",FALSE
Says Donald Trump funded a Veterans Day parade 26 years ago in New York City after the city refused to pay.,Facebook posts,"September 9, 2020",a Facebook post:,Samantha Putterman,"September 17, 2020",TRUE
“This is what Kamala Harris thinks about young Americans … ‘They are stupid!’”,Facebook posts,"September 10, 2020",a Facebook post:,Samantha Putterman,"September 17, 2020",half-true
“McDonald’s removes their American flags in support of Antifa & BLM nationwide.”,Facebook posts,"September 17, 2020",a Facebook post:,Ciara O'Rourke,"September 17, 2020",FALSE
“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”,Facebook posts,"September 14, 2020",a Facebook post:,Ciara O'Rourke,"September 17, 2020",FALSE
“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,Joe Biden,"September 13, 2020",an op-ed,Jon Greenberg,"September 17, 2020",TRUE
"""There are hit squads being trained all over this country” to violently oppose a second term for President Donald Trump.",Michael Caputo,"September 13, 2020",a Facebook video:,Bill McCarthy,"September 17, 2020",FALSE
"“This virus, COVID-19 SARS-CoV-2 virus, actually is not from nature. It is a man-made virus created in the lab.”",Li-Meng Yan,"September 15, 2020",an,Daniel Funke,"September 16, 2020",pants-fire
Selene Delgado Lopez is “everyone’s friend in Facebook.”,Viral image,"September 2, 2020",a Facebook post:,Ciara O'Rourke,"September 16, 2020",FALSE
"“Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.”",Tweets,"September 11, 2020",a Tweet:,Noah Y. Kim,"September 16, 2020",FALSE
"If Joe Biden steps down, Nancy Pelosi will become vice president.",Facebook posts,"August 15, 2020",a Facebook post:,Ciara O'Rourke,"September 16, 2020",FALSE
“The number of ICU beds is larger in Boone County by a factor of three” compared to Orange County for the University of North Carolina.,Mun Choi,"August 28, 2020",a press c,Simone Esters,"September 16, 2020",FALSE
“You people hate on Trump but he put on a child protective force that found over 300 missing kids in less than 30 days.”,Facebook posts,"August 31, 2020",a Facebook post:,Madison Czopek,"September 16, 2020",FALSE
"""USPS currently has the most cash on hand in its history, (approximately) $15 billion.""",Josh Hawley,"August 23, 2020",a Facebook post:,Veronica Mohesky,"September 16, 2020",TRUE
“Wisconsin is one of the nine states with the highest rate of infection per capita.”,Tony Evers,"September 15, 2020",a media brief,Eric Litke,"September 16, 2020",TRUE
"The same deputy who got shot through her jaw in Saturday’s shooting is the same officer seen on video laughing and smirking at the scene of security guard Andres Guardado’s death after he was shot and killed by LASD officers on June 18th, 2020.”",Instagram posts,"September 14, 2020",an Instagram post:,Samantha Putterman,"September 16, 2020",FALSE
Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,Donald Trump,"September 16, 2020",a pair of tweets:,Bill McCarthy,"September 16, 2020",pants-fire
Map shows that wildfires stop at the US.-Canada border.,Viral image,"September 12, 2020",a Facebook post:,Ciara O'Rourke,"September 15, 2020",FALSE
“Houston Texans coming out for the Black National Anthem then going into the locker room for THE REAL NATIONAL ANTHEM is DISGRACEFUL.”,Facebook posts,"September 11, 2020",a Facebook post:,Ciara O'Rourke,"September 15, 2020",FALSE
"West Coast wildfires are due to “bad forest maintenance,” not climate change.",Facebook posts,"September 10, 2020",a Facebook post:,Noah Y. Kim,"September 15, 2020",FALSE
A CNN headline reads: “Members of Crip gang volunteer to fight wildfires after sky turns red.”,Instagram posts,"September 12, 2020",a meme:,Daniel Funke,"September 15, 2020",FALSE
"Says a Twitter account for ""Scarsdale NY Antifa"" tweeted that ""chapters of Antifa around Oregon have collaborated to ignite fires around the state.""",Facebook posts,"September 14, 2020",a Facebook post:,Bill McCarthy,"September 15, 2020",FALSE
"Says a photo shows an ambushed Los Angeles police officer and that the NFL intends to “honor and praise the organization” that stood outside of the hospital chanting, “We hope she dies.”",Facebook posts,"September 13, 2020",a Facebook post:,Jon Greenberg,"September 14, 2020",FALSE
"""All evidence points to the fact that our kids are 17 times more likely to have ill effects from the seasonal flu than they are from the coronavirus.”",Dan Forest,"September 2, 2020",an,Paul Specht,"September 14, 2020",FALSE
“CDC announces that ordinary (non-N95) masks (which most people are wearing) will do nothing to protect you against wildfire smoke … Fun fact: smoke particles are far larger than SARS-CoV-2 particles.”,Facebook posts,"September 14, 2020",a Facebook post:,Samantha Putterman,"September 14, 2020",FALSE
"""ANTIFA is now carrying chain saws, and cutting down utility poles, and starting more fires.""",Facebook posts,"September 13, 2020",a text post:,Daniel Funke,"September 14, 2020",FALSE
"“In 1983, Joe Biden voted in favor of taxing 50% of Social Security” and in 1993, Biden “was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.”",Facebook posts,"September 7, 2020",a Facebook post:,Amy Sherman,"September 14, 2020",half-true
Says Sen. Martha McSally “supported a plan to turn Medicare into a voucher program and ‘shift costs’ onto seniors” and “even supported raising the retirement age.”,Mark Kelly,"September 2, 2020",campaign website:,Miriam Valverde,"September 14, 2020",TRUE
"Says Karen Handel voted with Donald Trump, ""gutting health care for millions, supporting horrific child separation policies"" and for ""abortion bans.""",Lucy McBath,"September 9, 2020",an ad:,Tom Kertscher,"September 14, 2020",half-true
"Says Lucy McBath ""is supporting those who attack the police.""",Karen Handel,"August 24, 2020",an ad:,Tom Kertscher,"September 14, 2020",FALSE
“Kroger Corporate says employees can not wear flag masks but they can wear BLM masks!”,Facebook posts,"September 5, 2020",a Facebook post:,Ciara O'Rourke,"September 14, 2020",FALSE
Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”,Joe Biden,"September 7, 2020",a Labor Day event:,Jon Greenberg,"September 14, 2020",half-true
"Says Donald Trump said, 'Africans Are Lazy, Good At Sex, Theft.'",Viral image,"September 11, 2020",a Facebook post:,Madison Czopek,"September 14, 2020",pants-fire
